Response_ID,Date,Country,Response_Category,Implementing_Institution,Estimated_Cost_MUSD,Urgency_Level,Implementation_Status,Effectiveness_Score,ME_Dependency_Reduction_Pct,Conflict_Phase
RSP-00204,2025-03-01,Japan,Cyber Defense for Energy Grid,Maritime Authority,3.8,Medium,In Progress,7.5,1.43,Regional Spread
RSP-00205,2025-03-01,Japan,Fuel Subsidy Increase,Central Bank,4.2,Low,Announced,5.2,1.67,Regional Spread
RSP-00206,2025-03-01,Japan,Emergency Energy Import Deal,National Oil Company,2.8,Low,Delayed,8.1,1.93,Regional Spread
RSP-00207,2025-03-01,South Korea,SPR Release,Maritime Authority,0.7,Medium,In Progress,7.7,1.19,Regional Spread
RSP-00208,2025-03-01,South Korea,Strategic Fuel Stockpile Mandate,Central Bank,0.8,Medium,In Progress,7.1,1.09,Regional Spread
RSP-00209,2025-03-01,South Korea,Coal-to-Gas Switching Ban,Ministry of Energy,1.1,Low,Completed,5.2,1.38,Regional Spread
RSP-00210,2025-03-01,South Korea,Port Security Enhancement,Emergency Management Agency,0.4,High,Announced,4.6,1.24,Regional Spread
RSP-00211,2025-03-01,South Korea,Bilateral Defense Pact,Central Bank,0.7,High,In Progress,7.4,1.64,Regional Spread
RSP-00212,2025-03-01,Australia,Emergency Energy Import Deal,Ministry of Defense,0.2,Medium,Completed,3.7,0.28,Regional Spread
RSP-00213,2025-03-01,Indonesia,Maritime Insurance Fund,Maritime Authority,0.2,Low,Completed,5.1,0.43,Regional Spread
RSP-00214,2025-03-01,Indonesia,Fuel Subsidy Increase,Maritime Authority,0.1,High,Completed,5.9,0.32,Regional Spread
RSP-00215,2025-03-01,Thailand,SPR Release,Ministry of Finance,0.2,Low,Announced,4.9,0.93,Regional Spread
RSP-00216,2025-03-01,Thailand,Refinery Capacity Expansion,Ministry of Finance,0.1,Medium,Delayed,6.2,1.14,Regional Spread
RSP-00217,2025-03-01,Vietnam,Cyber Defense for Energy Grid,Emergency Management Agency,0.1,Medium,In Progress,9.9,0.49,Regional Spread
RSP-00218,2025-03-01,Philippines,Port Security Enhancement,Central Bank,0.2,High,Completed,5.4,1.3,Regional Spread
RSP-00219,2025-03-01,Philippines,Bilateral Defense Pact,Ministry of Finance,0.2,Medium,Delayed,5.0,1.27,Regional Spread
RSP-00220,2025-03-01,Malaysia,Renewable Energy Fast-Track,Emergency Management Agency,0.1,Medium,Completed,5.4,0.19,Regional Spread
RSP-00221,2025-03-01,Pakistan,LNG Terminal Fast-Track,Ministry of Energy,0.1,Low,Delayed,5.3,1.34,Regional Spread
RSP-00222,2025-03-01,Pakistan,SPR Release,Maritime Authority,0.3,Medium,Delayed,5.5,1.76,Regional Spread
RSP-00223,2025-03-01,Pakistan,Naval Escort Deployment,Ministry of Defense,0.4,Medium,Announced,9.8,1.78,Regional Spread
RSP-00224,2025-03-01,Bangladesh,Alternative Supplier Agreement,Emergency Management Agency,0.1,High,Completed,3.2,0.92,Regional Spread
RSP-00225,2025-03-01,Taiwan,SPR Release,Ministry of Energy,0.8,Low,Delayed,6.0,1.44,Regional Spread
RSP-00226,2025-03-01,Taiwan,LNG Terminal Fast-Track,Ministry of Energy,0.4,Medium,In Progress,5.8,1.33,Regional Spread
RSP-00227,2025-03-01,Taiwan,SPR Release,Central Bank,0.3,High,In Progress,8.7,1.83,Regional Spread
RSP-00228,2025-03-01,Taiwan,Cyber Defense for Energy Grid,Central Bank,0.3,High,In Progress,6.5,1.72,Regional Spread
RSP-00229,2025-03-01,Taiwan,Strategic Fuel Stockpile Mandate,Central Bank,0.3,High,Announced,6.9,1.78,Regional Spread
RSP-00230,2025-03-01,Singapore,Bilateral Defense Pact,Ministry of Finance,0.2,Medium,In Progress,4.5,1.23,Regional Spread
RSP-00231,2025-03-01,Singapore,Coal-to-Gas Switching Ban,Ministry of Defense,0.4,High,Completed,4.9,1.69,Regional Spread
RSP-00232,2025-03-01,New Zealand,Naval Escort Deployment,Ministry of Defense,0.1,High,Delayed,4.9,0.58,Regional Spread
RSP-00233,2025-03-01,New Zealand,Naval Escort Deployment,National Oil Company,0.1,Medium,In Progress,5.7,0.69,Regional Spread
RSP-00234,2025-03-01,Sri Lanka,Freight Corridor Agreement,Maritime Authority,0.1,Medium,In Progress,4.2,1.41,Regional Spread
RSP-00235,2025-03-01,Sri Lanka,Emergency Energy Import Deal,Central Bank,0.1,Low,In Progress,5.0,2.12,Regional Spread
RSP-00236,2025-03-01,Sri Lanka,Naval Escort Deployment,Ministry of Trade,0.1,Low,Announced,6.5,2.05,Regional Spread
RSP-00237,2025-03-01,Sri Lanka,Refinery Capacity Expansion,National Oil Company,0.1,Medium,Announced,5.0,1.66,Regional Spread
RSP-00238,2025-03-01,Myanmar,Renewable Energy Fast-Track,Maritime Authority,0.1,High,Completed,7.8,0.75,Regional Spread
RSP-00239,2025-03-01,Cambodia,Naval Escort Deployment,Ministry of Finance,0.1,Low,In Progress,3.0,0.64,Regional Spread
RSP-00240,2025-03-01,Laos,Strategic Fuel Stockpile Mandate,National Oil Company,0.1,High,In Progress,9.0,0.22,Regional Spread
RSP-00241,2025-03-01,Mongolia,Cyber Defense for Energy Grid,National Oil Company,0.1,High,Completed,7.0,0.12,Regional Spread
RSP-00242,2025-04-01,China,Coal-to-Gas Switching Ban,Maritime Authority,6.0,Medium,Delayed,4.6,1.99,Maritime Blockade Threats
RSP-00243,2025-04-01,India,Renewable Energy Fast-Track,Emergency Management Agency,1.6,High,Completed,8.4,2.37,Maritime Blockade Threats
RSP-00244,2025-04-01,India,Naval Escort Deployment,National Oil Company,3.9,High,In Progress,7.2,2.76,Maritime Blockade Threats
RSP-00245,2025-04-01,India,Renewable Energy Fast-Track,Central Bank,4.3,Medium,In Progress,5.1,3.02,Maritime Blockade Threats
RSP-00246,2025-04-01,India,Bilateral Defense Pact,Emergency Management Agency,1.7,High,In Progress,5.1,2.15,Maritime Blockade Threats
RSP-00247,2025-04-01,India,Fuel Subsidy Increase,National Oil Company,2.6,High,In Progress,6.8,3.02,Maritime Blockade Threats
RSP-00248,2025-04-01,Japan,Coal-to-Gas Switching Ban,Ministry of Defense,5.0,High,Announced,5.1,3.53,Maritime Blockade Threats
RSP-00249,2025-04-01,Japan,Freight Corridor Agreement,Ministry of Finance,3.3,Medium,Announced,7.4,3.25,Maritime Blockade Threats
RSP-00250,2025-04-01,Japan,Renewable Energy Fast-Track,Emergency Management Agency,5.8,High,In Progress,4.2,3.67,Maritime Blockade Threats
RSP-00251,2025-04-01,Japan,Alternative Supplier Agreement,Ministry of Trade,7.9,High,In Progress,9.0,3.55,Maritime Blockade Threats
RSP-00252,2025-04-01,Japan,Naval Escort Deployment,National Oil Company,6.3,High,Completed,6.8,3.16,Maritime Blockade Threats
RSP-00253,2025-04-01,Japan,Cyber Defense for Energy Grid,Ministry of Defense,3.6,Critical,Announced,6.3,3.26,Maritime Blockade Threats
RSP-00254,2025-04-01,Japan,Naval Escort Deployment,Emergency Management Agency,4.7,Critical,In Progress,4.8,3.81,Maritime Blockade Threats
RSP-00255,2025-04-01,Japan,Emergency Energy Import Deal,National Oil Company,7.2,High,In Progress,4.2,3.32,Maritime Blockade Threats
RSP-00256,2025-04-01,South Korea,Alternative Supplier Agreement,Emergency Management Agency,0.8,Low,Delayed,6.4,2.47,Maritime Blockade Threats
RSP-00257,2025-04-01,South Korea,Strategic Fuel Stockpile Mandate,Ministry of Energy,1.7,Medium,In Progress,7.3,2.71,Maritime Blockade Threats
RSP-00258,2025-04-01,South Korea,Fuel Subsidy Increase,Ministry of Energy,2.0,High,Delayed,4.4,2.64,Maritime Blockade Threats
RSP-00259,2025-04-01,South Korea,Emergency Energy Import Deal,National Oil Company,1.7,Medium,Announced,6.9,2.33,Maritime Blockade Threats
RSP-00260,2025-04-01,South Korea,Refinery Capacity Expansion,Central Bank,1.5,Medium,In Progress,8.1,2.65,Maritime Blockade Threats
RSP-00261,2025-04-01,Australia,LNG Terminal Fast-Track,Maritime Authority,0.5,Medium,Completed,5.7,0.46,Maritime Blockade Threats
RSP-00262,2025-04-01,Indonesia,Freight Corridor Agreement,Emergency Management Agency,0.5,Critical,Delayed,5.7,0.79,Maritime Blockade Threats
RSP-00263,2025-04-01,Thailand,Strategic Fuel Stockpile Mandate,Ministry of Energy,0.4,Medium,Announced,1.8,2.57,Maritime Blockade Threats
RSP-00264,2025-04-01,Thailand,Coal-to-Gas Switching Ban,Emergency Management Agency,0.3,Medium,In Progress,6.8,2.42,Maritime Blockade Threats
RSP-00265,2025-04-01,Thailand,Freight Corridor Agreement,Maritime Authority,0.4,High,In Progress,4.8,2.37,Maritime Blockade Threats
RSP-00266,2025-04-01,Vietnam,Port Security Enhancement,Ministry of Defense,0.1,High,Announced,4.6,1.02,Maritime Blockade Threats
RSP-00267,2025-04-01,Vietnam,Cyber Defense for Energy Grid,Central Bank,0.1,Medium,Announced,6.9,0.71,Maritime Blockade Threats
RSP-00268,2025-04-01,Philippines,Coal-to-Gas Switching Ban,Ministry of Trade,0.2,High,In Progress,5.7,2.29,Maritime Blockade Threats
RSP-00269,2025-04-01,Philippines,Fuel Subsidy Increase,Ministry of Finance,0.3,Medium,In Progress,6.9,2.92,Maritime Blockade Threats
RSP-00270,2025-04-01,Malaysia,LNG Terminal Fast-Track,Ministry of Energy,0.1,Medium,In Progress,4.6,0.45,Maritime Blockade Threats
RSP-00271,2025-04-01,Pakistan,Port Security Enhancement,Central Bank,0.6,Medium,Completed,6.8,3.36,Maritime Blockade Threats
RSP-00272,2025-04-01,Pakistan,Port Security Enhancement,Ministry of Finance,0.2,High,Delayed,5.2,3.32,Maritime Blockade Threats
RSP-00273,2025-04-01,Pakistan,Fuel Subsidy Increase,Ministry of Defense,0.4,Medium,Announced,6.1,2.52,Maritime Blockade Threats
RSP-00274,2025-04-01,Pakistan,Fuel Subsidy Increase,Emergency Management Agency,0.5,High,In Progress,6.3,2.71,Maritime Blockade Threats
RSP-00275,2025-04-01,Pakistan,Port Security Enhancement,Emergency Management Agency,0.4,Low,Delayed,5.2,2.35,Maritime Blockade Threats
RSP-00276,2025-04-01,Bangladesh,Fuel Subsidy Increase,National Oil Company,0.2,High,Delayed,7.0,1.78,Maritime Blockade Threats
RSP-00277,2025-04-01,Bangladesh,Cyber Defense for Energy Grid,Emergency Management Agency,0.2,Medium,Announced,4.6,2.01,Maritime Blockade Threats
RSP-00278,2025-04-01,Bangladesh,Strategic Fuel Stockpile Mandate,National Oil Company,0.2,Medium,Announced,3.5,1.7,Maritime Blockade Threats
RSP-00279,2025-04-01,Taiwan,Naval Escort Deployment,Central Bank,0.6,Medium,Announced,5.4,2.94,Maritime Blockade Threats
RSP-00280,2025-04-01,Taiwan,Cyber Defense for Energy Grid,Ministry of Defense,0.9,High,Announced,4.3,2.7,Maritime Blockade Threats
RSP-00281,2025-04-01,Taiwan,Emergency Energy Import Deal,Ministry of Finance,0.9,High,Announced,3.4,2.47,Maritime Blockade Threats
RSP-00282,2025-04-01,Taiwan,Renewable Energy Fast-Track,Maritime Authority,1.1,Low,Delayed,7.1,3.13,Maritime Blockade Threats
RSP-00283,2025-04-01,Taiwan,Coal-to-Gas Switching Ban,National Oil Company,0.8,Critical,In Progress,3.9,3.01,Maritime Blockade Threats
RSP-00284,2025-04-01,Taiwan,Port Security Enhancement,Central Bank,1.1,High,Completed,5.5,3.71,Maritime Blockade Threats
RSP-00285,2025-04-01,Singapore,Bilateral Defense Pact,Central Bank,0.3,Medium,In Progress,5.4,3.12,Maritime Blockade Threats
RSP-00286,2025-04-01,Singapore,Port Security Enhancement,Maritime Authority,0.4,Medium,Delayed,6.2,3.17,Maritime Blockade Threats
RSP-00287,2025-04-01,Singapore,Cyber Defense for Energy Grid,Emergency Management Agency,0.2,High,Announced,5.1,3.35,Maritime Blockade Threats
RSP-00288,2025-04-01,Singapore,Fuel Subsidy Increase,Ministry of Energy,0.6,Critical,Announced,8.5,2.83,Maritime Blockade Threats
RSP-00289,2025-04-01,Singapore,Alternative Supplier Agreement,National Oil Company,0.3,Low,Announced,7.1,3.41,Maritime Blockade Threats
RSP-00290,2025-04-01,New Zealand,Emergency Energy Import Deal,National Oil Company,0.1,Medium,In Progress,4.8,0.99,Maritime Blockade Threats
RSP-00291,2025-04-01,New Zealand,Alternative Supplier Agreement,Ministry of Trade,0.1,High,Completed,6.1,0.97,Maritime Blockade Threats
RSP-00292,2025-04-01,New Zealand,Fuel Subsidy Increase,Ministry of Energy,0.1,High,In Progress,5.8,1.28,Maritime Blockade Threats
RSP-00293,2025-04-01,Sri Lanka,Strategic Fuel Stockpile Mandate,Ministry of Finance,0.1,Low,Delayed,7.6,2.96,Maritime Blockade Threats
RSP-00294,2025-04-01,Sri Lanka,LNG Terminal Fast-Track,Ministry of Defense,0.1,High,In Progress,6.6,4.03,Maritime Blockade Threats
RSP-00295,2025-04-01,Sri Lanka,Alternative Supplier Agreement,Ministry of Trade,0.1,High,In Progress,5.4,4.31,Maritime Blockade Threats
RSP-00296,2025-04-01,Sri Lanka,Emergency Energy Import Deal,National Oil Company,0.1,High,In Progress,5.4,3.14,Maritime Blockade Threats
RSP-00297,2025-04-01,Myanmar,Strategic Fuel Stockpile Mandate,Maritime Authority,0.1,Medium,Announced,3.9,1.09,Maritime Blockade Threats
RSP-00298,2025-04-01,Cambodia,Renewable Energy Fast-Track,National Oil Company,0.1,High,Announced,4.8,1.86,Maritime Blockade Threats
RSP-00299,2025-04-01,Cambodia,Naval Escort Deployment,Ministry of Defense,0.1,Critical,Completed,5.3,1.26,Maritime Blockade Threats
RSP-00300,2025-04-01,Laos,Emergency Energy Import Deal,Ministry of Energy,0.1,Medium,Completed,5.5,0.36,Maritime Blockade Threats
RSP-00301,2025-04-01,Mongolia,Emergency Energy Import Deal,Maritime Authority,0.1,High,Completed,4.2,0.2,Maritime Blockade Threats
RSP-00302,2025-05-01,China,Renewable Energy Fast-Track,Emergency Management Agency,11.0,Medium,In Progress,8.2,1.69,Maritime Blockade Threats
RSP-00303,2025-05-01,China,Freight Corridor Agreement,Ministry of Finance,8.6,Critical,In Progress,7.8,1.97,Maritime Blockade Threats
RSP-00304,2025-05-01,India,Freight Corridor Agreement,Ministry of Finance,4.0,High,Completed,5.1,2.59,Maritime Blockade Threats
RSP-00305,2025-05-01,India,Emergency Energy Import Deal,Ministry of Trade,4.1,Low,Completed,6.6,2.99,Maritime Blockade Threats
RSP-00306,2025-05-01,India,Coal-to-Gas Switching Ban,Ministry of Defense,1.7,Critical,In Progress,6.4,2.36,Maritime Blockade Threats
RSP-00307,2025-05-01,India,Coal-to-Gas Switching Ban,Central Bank,2.8,Low,Delayed,3.1,1.97,Maritime Blockade Threats
RSP-00308,2025-05-01,Japan,Emergency Energy Import Deal,Emergency Management Agency,6.7,Low,Delayed,6.4,3.05,Maritime Blockade Threats
RSP-00309,2025-05-01,Japan,Naval Escort Deployment,Ministry of Trade,6.9,High,Delayed,5.6,4.08,Maritime Blockade Threats
RSP-00310,2025-05-01,Japan,Freight Corridor Agreement,Central Bank,6.9,Low,Delayed,6.7,3.72,Maritime Blockade Threats
RSP-00311,2025-05-01,Japan,SPR Release,Ministry of Finance,1.5,Low,Completed,6.9,3.71,Maritime Blockade Threats
RSP-00312,2025-05-01,South Korea,Cyber Defense for Energy Grid,National Oil Company,1.9,Medium,In Progress,9.1,3.51,Maritime Blockade Threats
RSP-00313,2025-05-01,South Korea,Bilateral Defense Pact,Ministry of Finance,1.2,Low,In Progress,5.0,3.19,Maritime Blockade Threats
RSP-00314,2025-05-01,South Korea,Coal-to-Gas Switching Ban,Ministry of Defense,0.8,Medium,Completed,6.3,3.06,Maritime Blockade Threats
RSP-00315,2025-05-01,Australia,Freight Corridor Agreement,National Oil Company,0.2,Low,In Progress,6.8,0.61,Maritime Blockade Threats
RSP-00316,2025-05-01,Indonesia,Maritime Insurance Fund,Ministry of Defense,0.1,High,In Progress,4.8,0.88,Maritime Blockade Threats
RSP-00317,2025-05-01,Thailand,Cyber Defense for Energy Grid,Ministry of Finance,0.3,High,In Progress,4.4,2.35,Maritime Blockade Threats
RSP-00318,2025-05-01,Thailand,Port Security Enhancement,National Oil Company,0.2,Medium,Announced,5.3,2.66,Maritime Blockade Threats
RSP-00319,2025-05-01,Vietnam,Naval Escort Deployment,Ministry of Energy,0.2,Critical,Announced,7.3,1.01,Maritime Blockade Threats
RSP-00320,2025-05-01,Vietnam,Coal-to-Gas Switching Ban,Ministry of Finance,0.1,High,Completed,6.4,1.02,Maritime Blockade Threats
RSP-00321,2025-05-01,Philippines,SPR Release,Emergency Management Agency,0.6,Medium,In Progress,9.2,2.81,Maritime Blockade Threats
RSP-00322,2025-05-01,Philippines,Freight Corridor Agreement,Ministry of Energy,0.2,Low,In Progress,6.3,2.84,Maritime Blockade Threats
RSP-00323,2025-05-01,Philippines,Coal-to-Gas Switching Ban,Emergency Management Agency,0.4,High,Completed,4.7,2.38,Maritime Blockade Threats
RSP-00324,2025-05-01,Malaysia,Bilateral Defense Pact,Maritime Authority,0.1,High,In Progress,4.9,0.38,Maritime Blockade Threats
RSP-00325,2025-05-01,Pakistan,Freight Corridor Agreement,National Oil Company,0.3,High,Completed,7.3,3.23,Maritime Blockade Threats
RSP-00326,2025-05-01,Pakistan,Renewable Energy Fast-Track,Central Bank,0.1,High,In Progress,5.3,3.6,Maritime Blockade Threats
RSP-00327,2025-05-01,Pakistan,Port Security Enhancement,Ministry of Finance,0.2,High,Completed,7.8,3.44,Maritime Blockade Threats
RSP-00328,2025-05-01,Pakistan,Refinery Capacity Expansion,Ministry of Energy,0.1,Medium,In Progress,6.1,2.82,Maritime Blockade Threats
RSP-00329,2025-05-01,Pakistan,Emergency Energy Import Deal,Ministry of Finance,0.3,High,Announced,6.6,2.29,Maritime Blockade Threats
RSP-00330,2025-05-01,Pakistan,Maritime Insurance Fund,Ministry of Energy,0.2,Medium,Completed,6.4,3.3,Maritime Blockade Threats
RSP-00331,2025-05-01,Bangladesh,Port Security Enhancement,Central Bank,0.2,Medium,Delayed,6.5,1.71,Maritime Blockade Threats
RSP-00332,2025-05-01,Taiwan,Alternative Supplier Agreement,Ministry of Trade,0.8,Medium,Completed,6.9,2.84,Maritime Blockade Threats
RSP-00333,2025-05-01,Taiwan,Coal-to-Gas Switching Ban,Ministry of Defense,1.0,Medium,In Progress,6.7,3.07,Maritime Blockade Threats
RSP-00334,2025-05-01,Taiwan,Alternative Supplier Agreement,Ministry of Trade,0.6,High,Announced,3.2,2.42,Maritime Blockade Threats
RSP-00335,2025-05-01,Taiwan,Coal-to-Gas Switching Ban,Central Bank,0.3,High,In Progress,6.9,2.65,Maritime Blockade Threats
RSP-00336,2025-05-01,Taiwan,Bilateral Defense Pact,Central Bank,0.7,High,Completed,7.2,3.16,Maritime Blockade Threats
RSP-00337,2025-05-01,Taiwan,Renewable Energy Fast-Track,National Oil Company,0.6,Critical,In Progress,9.4,2.88,Maritime Blockade Threats
RSP-00338,2025-05-01,Singapore,Freight Corridor Agreement,Ministry of Trade,0.7,Medium,In Progress,7.2,3.53,Maritime Blockade Threats
RSP-00339,2025-05-01,Singapore,Port Security Enhancement,Central Bank,0.8,High,Announced,5.9,3.91,Maritime Blockade Threats
RSP-00340,2025-05-01,Singapore,Coal-to-Gas Switching Ban,Ministry of Finance,0.4,Medium,In Progress,5.0,3.54,Maritime Blockade Threats
RSP-00341,2025-05-01,New Zealand,Coal-to-Gas Switching Ban,Ministry of Finance,0.1,High,In Progress,5.6,0.99,Maritime Blockade Threats
RSP-00342,2025-05-01,New Zealand,Alternative Supplier Agreement,Ministry of Energy,0.1,High,In Progress,5.3,1.06,Maritime Blockade Threats
RSP-00343,2025-05-01,New Zealand,Emergency Energy Import Deal,Ministry of Defense,0.1,High,Completed,4.8,1.09,Maritime Blockade Threats
RSP-00344,2025-05-01,Sri Lanka,LNG Terminal Fast-Track,Emergency Management Agency,0.1,High,Announced,6.4,3.29,Maritime Blockade Threats
RSP-00345,2025-05-01,Sri Lanka,Refinery Capacity Expansion,Ministry of Finance,0.1,High,Completed,5.8,4.17,Maritime Blockade Threats
RSP-00346,2025-05-01,Sri Lanka,Fuel Subsidy Increase,Ministry of Finance,0.1,High,Completed,8.8,3.74,Maritime Blockade Threats
RSP-00347,2025-05-01,Sri Lanka,Coal-to-Gas Switching Ban,Ministry of Defense,0.1,High,Completed,6.8,3.27,Maritime Blockade Threats
RSP-00348,2025-05-01,Sri Lanka,Alternative Supplier Agreement,Central Bank,0.1,High,In Progress,3.9,3.3,Maritime Blockade Threats
RSP-00349,2025-05-01,Sri Lanka,Strategic Fuel Stockpile Mandate,Ministry of Trade,0.1,Medium,Delayed,7.1,3.39,Maritime Blockade Threats
RSP-00350,2025-05-01,Myanmar,Cyber Defense for Energy Grid,Emergency Management Agency,0.1,High,In Progress,5.9,1.57,Maritime Blockade Threats
RSP-00351,2025-05-01,Myanmar,Refinery Capacity Expansion,Ministry of Energy,0.1,Low,Delayed,6.2,1.19,Maritime Blockade Threats
RSP-00352,2025-05-01,Cambodia,Freight Corridor Agreement,Ministry of Energy,0.1,Medium,Delayed,6.1,1.55,Maritime Blockade Threats
RSP-00353,2025-05-01,Cambodia,Port Security Enhancement,Ministry of Finance,0.1,High,In Progress,5.6,1.41,Maritime Blockade Threats
RSP-00354,2025-05-01,Cambodia,Naval Escort Deployment,Ministry of Trade,0.1,Critical,Delayed,5.9,1.78,Maritime Blockade Threats
RSP-00355,2025-05-01,Cambodia,LNG Terminal Fast-Track,Ministry of Energy,0.1,Critical,In Progress,3.3,1.62,Maritime Blockade Threats
RSP-00356,2025-05-01,Laos,Refinery Capacity Expansion,Ministry of Trade,0.1,Low,In Progress,8.2,0.39,Maritime Blockade Threats
RSP-00357,2025-05-01,Mongolia,Coal-to-Gas Switching Ban,Ministry of Energy,0.1,Critical,In Progress,3.7,0.22,Maritime Blockade Threats
RSP-00358,2025-06-01,China,Strategic Fuel Stockpile Mandate,Emergency Management Agency,12.7,High,Completed,7.9,1.7,Maritime Blockade Threats
RSP-00359,2025-06-01,China,Strategic Fuel Stockpile Mandate,Ministry of Finance,7.0,Low,Completed,7.4,1.66,Maritime Blockade Threats
RSP-00360,2025-06-01,China,Refinery Capacity Expansion,Central Bank,11.3,High,Completed,4.7,1.55,Maritime Blockade Threats
RSP-00361,2025-06-01,China,Refinery Capacity Expansion,Central Bank,6.7,Low,Announced,5.9,1.47,Maritime Blockade Threats
RSP-00362,2025-06-01,China,LNG Terminal Fast-Track,Ministry of Energy,6.4,Low,Announced,6.4,1.99,Maritime Blockade Threats
RSP-00363,2025-06-01,China,Renewable Energy Fast-Track,Ministry of Finance,5.8,Critical,In Progress,9.3,2.01,Maritime Blockade Threats
RSP-00364,2025-06-01,China,Refinery Capacity Expansion,Ministry of Defense,7.3,High,Announced,6.0,2.05,Maritime Blockade Threats
RSP-00365,2025-06-01,India,SPR Release,Maritime Authority,2.3,Critical,Completed,2.2,2.66,Maritime Blockade Threats
RSP-00366,2025-06-01,Japan,Cyber Defense for Energy Grid,Emergency Management Agency,4.6,Critical,Completed,3.3,3.73,Maritime Blockade Threats
RSP-00367,2025-06-01,Japan,Naval Escort Deployment,Emergency Management Agency,3.8,High,Announced,8.0,4.39,Maritime Blockade Threats
RSP-00368,2025-06-01,Japan,Renewable Energy Fast-Track,Emergency Management Agency,4.9,Medium,In Progress,6.1,3.63,Maritime Blockade Threats
RSP-00369,2025-06-01,Japan,Port Security Enhancement,National Oil Company,3.4,High,Completed,7.7,3.52,Maritime Blockade Threats
RSP-00370,2025-06-01,Japan,Coal-to-Gas Switching Ban,Emergency Management Agency,2.3,Medium,Announced,1.7,3.99,Maritime Blockade Threats
RSP-00371,2025-06-01,Japan,Renewable Energy Fast-Track,Emergency Management Agency,4.0,Critical,Completed,7.1,4.21,Maritime Blockade Threats
RSP-00372,2025-06-01,South Korea,Fuel Subsidy Increase,Maritime Authority,1.8,Critical,Delayed,7.7,2.3,Maritime Blockade Threats
RSP-00373,2025-06-01,South Korea,Naval Escort Deployment,Emergency Management Agency,2.0,High,Delayed,5.4,2.27,Maritime Blockade Threats
RSP-00374,2025-06-01,South Korea,Refinery Capacity Expansion,Ministry of Trade,2.2,Medium,Completed,5.4,3.21,Maritime Blockade Threats
RSP-00375,2025-06-01,South Korea,Maritime Insurance Fund,Ministry of Finance,1.3,High,Announced,5.5,2.55,Maritime Blockade Threats
RSP-00376,2025-06-01,South Korea,Coal-to-Gas Switching Ban,Ministry of Defense,0.8,High,In Progress,8.7,3.59,Maritime Blockade Threats
RSP-00377,2025-06-01,Australia,Maritime Insurance Fund,Ministry of Energy,0.4,Critical,Announced,6.3,0.56,Maritime Blockade Threats
RSP-00378,2025-06-01,Indonesia,SPR Release,Ministry of Trade,0.3,Critical,Announced,6.3,0.8,Maritime Blockade Threats
RSP-00379,2025-06-01,Thailand,Bilateral Defense Pact,Maritime Authority,0.5,Medium,Completed,4.7,1.68,Maritime Blockade Threats
RSP-00380,2025-06-01,Thailand,Port Security Enhancement,Ministry of Trade,0.4,High,In Progress,4.4,2.7,Maritime Blockade Threats
RSP-00381,2025-06-01,Thailand,LNG Terminal Fast-Track,Ministry of Trade,0.5,High,In Progress,5.8,2.58,Maritime Blockade Threats
RSP-00382,2025-06-01,Vietnam,Refinery Capacity Expansion,Ministry of Finance,0.1,Critical,Announced,5.3,0.75,Maritime Blockade Threats
RSP-00383,2025-06-01,Vietnam,Refinery Capacity Expansion,Ministry of Trade,0.1,Medium,Completed,4.1,1.01,Maritime Blockade Threats
RSP-00384,2025-06-01,Philippines,Alternative Supplier Agreement,Ministry of Finance,0.5,Critical,Announced,3.6,2.25,Maritime Blockade Threats
RSP-00385,2025-06-01,Malaysia,LNG Terminal Fast-Track,National Oil Company,0.1,High,Announced,5.7,0.49,Maritime Blockade Threats
RSP-00386,2025-06-01,Malaysia,Maritime Insurance Fund,Central Bank,0.1,Low,In Progress,7.0,0.41,Maritime Blockade Threats
RSP-00387,2025-06-01,Pakistan,LNG Terminal Fast-Track,Ministry of Finance,0.2,High,Announced,5.8,2.93,Maritime Blockade Threats
RSP-00388,2025-06-01,Pakistan,LNG Terminal Fast-Track,Ministry of Trade,0.2,High,In Progress,7.1,2.91,Maritime Blockade Threats
RSP-00389,2025-06-01,Pakistan,Naval Escort Deployment,Ministry of Finance,0.5,Critical,Announced,8.8,3.14,Maritime Blockade Threats
RSP-00390,2025-06-01,Bangladesh,Strategic Fuel Stockpile Mandate,Ministry of Finance,0.3,Medium,In Progress,6.3,2.04,Maritime Blockade Threats
RSP-00391,2025-06-01,Bangladesh,Fuel Subsidy Increase,Emergency Management Agency,0.1,Low,Delayed,8.4,1.48,Maritime Blockade Threats
RSP-00392,2025-06-01,Taiwan,Freight Corridor Agreement,Ministry of Energy,0.8,Low,Completed,5.0,3.68,Maritime Blockade Threats
RSP-00393,2025-06-01,Taiwan,Emergency Energy Import Deal,Ministry of Trade,0.6,Critical,Delayed,3.8,3.61,Maritime Blockade Threats
RSP-00394,2025-06-01,Taiwan,Naval Escort Deployment,Emergency Management Agency,0.7,Low,Completed,5.2,3.52,Maritime Blockade Threats
RSP-00395,2025-06-01,Taiwan,Port Security Enhancement,Emergency Management Agency,0.5,Medium,Delayed,5.2,3.49,Maritime Blockade Threats
RSP-00396,2025-06-01,Taiwan,Coal-to-Gas Switching Ban,Ministry of Defense,0.5,Low,Completed,4.7,3.86,Maritime Blockade Threats
RSP-00397,2025-06-01,Taiwan,Maritime Insurance Fund,Ministry of Defense,0.6,High,In Progress,8.8,2.94,Maritime Blockade Threats
RSP-00398,2025-06-01,Singapore,Alternative Supplier Agreement,Ministry of Defense,0.2,Critical,Delayed,5.5,2.78,Maritime Blockade Threats
