response_key,response_category,institution
RSP-00496,Maritime Insurance Fund,Maritime Authority
RSP-00497,LNG Terminal Fast-Track,Maritime Authority
RSP-00498,LNG Terminal Fast-Track,National Oil Company
RSP-00499,Refinery Capacity Expansion,Ministry of Defense
RSP-00500,Fuel Subsidy Increase,Ministry of Trade
RSP-00501,Refinery Capacity Expansion,Central Bank
RSP-00502,Cyber Defense for Energy Grid,Ministry of Energy
RSP-00503,Port Security Enhancement,Central Bank
RSP-00504,Fuel Subsidy Increase,Ministry of Trade
RSP-00505,Freight Corridor Agreement,Ministry of Finance
RSP-00506,Fuel Subsidy Increase,Maritime Authority
RSP-00507,Naval Escort Deployment,Ministry of Defense
RSP-00508,Naval Escort Deployment,Emergency Management Agency
RSP-00509,SPR Release,Emergency Management Agency
RSP-00510,Refinery Capacity Expansion,Maritime Authority
RSP-00511,Strategic Fuel Stockpile Mandate,National Oil Company
RSP-00512,Bilateral Defense Pact,National Oil Company
RSP-00513,Cyber Defense for Energy Grid,Ministry of Finance
RSP-00514,Port Security Enhancement,Ministry of Defense
RSP-00515,LNG Terminal Fast-Track,Ministry of Defense
RSP-00516,Maritime Insurance Fund,Ministry of Trade
RSP-00517,Strategic Fuel Stockpile Mandate,Ministry of Defense
RSP-00518,Bilateral Defense Pact,Emergency Management Agency
RSP-00519,Renewable Energy Fast-Track,Ministry of Finance
RSP-00520,Maritime Insurance Fund,Maritime Authority
RSP-00521,Fuel Subsidy Increase,National Oil Company
RSP-00522,Cyber Defense for Energy Grid,National Oil Company
RSP-00523,Freight Corridor Agreement,Ministry of Energy
RSP-00524,Coal-to-Gas Switching Ban,Central Bank
RSP-00525,Cyber Defense for Energy Grid,Ministry of Finance
RSP-00526,Port Security Enhancement,Ministry of Energy
RSP-00527,Renewable Energy Fast-Track,Ministry of Finance
RSP-00528,Fuel Subsidy Increase,Ministry of Energy
RSP-00529,Bilateral Defense Pact,National Oil Company
RSP-00530,Fuel Subsidy Increase,Maritime Authority
RSP-00531,Fuel Subsidy Increase,Ministry of Trade
RSP-00532,Port Security Enhancement,National Oil Company
RSP-00533,Coal-to-Gas Switching Ban,Maritime Authority
RSP-00534,Strategic Fuel Stockpile Mandate,Ministry of Finance
RSP-00535,Maritime Insurance Fund,Emergency Management Agency
RSP-00536,Emergency Energy Import Deal,Maritime Authority
RSP-00537,LNG Terminal Fast-Track,Emergency Management Agency
RSP-00538,Port Security Enhancement,Maritime Authority
RSP-00539,Fuel Subsidy Increase,Ministry of Energy
RSP-00540,SPR Release,Emergency Management Agency
RSP-00541,Strategic Fuel Stockpile Mandate,Ministry of Finance
RSP-00542,Coal-to-Gas Switching Ban,Ministry of Defense
RSP-00543,Cyber Defense for Energy Grid,Maritime Authority
RSP-00544,Maritime Insurance Fund,Emergency Management Agency
RSP-00545,Fuel Subsidy Increase,National Oil Company
RSP-00546,Port Security Enhancement,Maritime Authority
RSP-00547,Freight Corridor Agreement,Ministry of Defense
RSP-00548,Emergency Energy Import Deal,Maritime Authority
RSP-00549,Coal-to-Gas Switching Ban,Emergency Management Agency
RSP-00550,Port Security Enhancement,Emergency Management Agency
RSP-00551,Coal-to-Gas Switching Ban,Ministry of Trade
RSP-00552,Alternative Supplier Agreement,Emergency Management Agency
RSP-00553,Renewable Energy Fast-Track,Maritime Authority
RSP-00554,Alternative Supplier Agreement,Emergency Management Agency
RSP-00555,Fuel Subsidy Increase,Emergency Management Agency
RSP-00556,Strategic Fuel Stockpile Mandate,Ministry of Trade
RSP-00557,SPR Release,Central Bank
RSP-00558,Coal-to-Gas Switching Ban,Central Bank
RSP-00559,SPR Release,Ministry of Finance
RSP-00560,SPR Release,Central Bank
RSP-00561,Strategic Fuel Stockpile Mandate,Ministry of Energy
RSP-00562,Alternative Supplier Agreement,National Oil Company
RSP-00563,Strategic Fuel Stockpile Mandate,Ministry of Finance
RSP-00564,Maritime Insurance Fund,Ministry of Defense
RSP-00565,Strategic Fuel Stockpile Mandate,National Oil Company
RSP-00566,Renewable Energy Fast-Track,National Oil Company
RSP-00567,LNG Terminal Fast-Track,Central Bank
RSP-00568,Freight Corridor Agreement,Maritime Authority
RSP-00569,Bilateral Defense Pact,National Oil Company
RSP-00570,Cyber Defense for Energy Grid,Central Bank
RSP-00571,Bilateral Defense Pact,Ministry of Trade
RSP-00572,Freight Corridor Agreement,Ministry of Energy
RSP-00573,Cyber Defense for Energy Grid,Ministry of Defense
RSP-00574,Freight Corridor Agreement,Emergency Management Agency
RSP-00575,Bilateral Defense Pact,Maritime Authority
RSP-00576,Coal-to-Gas Switching Ban,Ministry of Energy
RSP-00577,Port Security Enhancement,Ministry of Trade
RSP-00578,Alternative Supplier Agreement,Ministry of Defense
RSP-00579,Freight Corridor Agreement,Ministry of Energy
RSP-00580,Fuel Subsidy Increase,Emergency Management Agency
RSP-00581,Cyber Defense for Energy Grid,Ministry of Trade
RSP-00582,Freight Corridor Agreement,Ministry of Energy
RSP-00583,Strategic Fuel Stockpile Mandate,Central Bank
RSP-00584,Freight Corridor Agreement,Ministry of Defense
RSP-00585,Bilateral Defense Pact,Ministry of Trade
RSP-00586,Coal-to-Gas Switching Ban,Ministry of Finance
RSP-00587,Maritime Insurance Fund,Ministry of Trade
RSP-00588,Emergency Energy Import Deal,Emergency Management Agency
RSP-00589,Strategic Fuel Stockpile Mandate,Emergency Management Agency
RSP-00590,Maritime Insurance Fund,Central Bank
RSP-00591,Renewable Energy Fast-Track,Ministry of Defense
RSP-00592,Renewable Energy Fast-Track,Central Bank
RSP-00593,LNG Terminal Fast-Track,Emergency Management Agency
RSP-00594,Emergency Energy Import Deal,Ministry of Energy
RSP-00595,Freight Corridor Agreement,Ministry of Trade
RSP-00596,Coal-to-Gas Switching Ban,Ministry of Energy
RSP-00597,Alternative Supplier Agreement,Ministry of Energy
RSP-00598,Freight Corridor Agreement,Ministry of Trade
RSP-00599,Coal-to-Gas Switching Ban,Maritime Authority
RSP-00600,Renewable Energy Fast-Track,Ministry of Finance
RSP-00601,Emergency Energy Import Deal,Central Bank
RSP-00602,Fuel Subsidy Increase,National Oil Company
RSP-00603,Cyber Defense for Energy Grid,Ministry of Finance
RSP-00604,Coal-to-Gas Switching Ban,Ministry of Defense
RSP-00605,Emergency Energy Import Deal,Central Bank
RSP-00606,Coal-to-Gas Switching Ban,Ministry of Defense
RSP-00607,Port Security Enhancement,Emergency Management Agency
RSP-00608,Emergency Energy Import Deal,Ministry of Trade
RSP-00609,Maritime Insurance Fund,Emergency Management Agency
RSP-00610,Emergency Energy Import Deal,National Oil Company
RSP-00611,Naval Escort Deployment,Central Bank
RSP-00612,Emergency Energy Import Deal,Central Bank
RSP-00613,SPR Release,Maritime Authority
RSP-00614,Refinery Capacity Expansion,Maritime Authority
RSP-00615,Coal-to-Gas Switching Ban,National Oil Company
RSP-00616,LNG Terminal Fast-Track,Ministry of Trade
RSP-00617,Refinery Capacity Expansion,Ministry of Defense
RSP-00618,Cyber Defense for Energy Grid,National Oil Company
RSP-00619,Refinery Capacity Expansion,Ministry of Finance
RSP-00620,LNG Terminal Fast-Track,Ministry of Energy
RSP-00621,Cyber Defense for Energy Grid,National Oil Company
RSP-00622,Strategic Fuel Stockpile Mandate,National Oil Company
RSP-00623,LNG Terminal Fast-Track,Ministry of Defense
RSP-00624,Cyber Defense for Energy Grid,Central Bank
RSP-00625,Renewable Energy Fast-Track,Ministry of Energy
RSP-00626,Cyber Defense for Energy Grid,Ministry of Finance
RSP-00627,Emergency Energy Import Deal,Maritime Authority
RSP-00628,Alternative Supplier Agreement,Ministry of Trade
RSP-00629,LNG Terminal Fast-Track,Central Bank
RSP-00630,LNG Terminal Fast-Track,Central Bank
RSP-00631,Naval Escort Deployment,Ministry of Trade
RSP-00632,Freight Corridor Agreement,Maritime Authority
RSP-00633,Naval Escort Deployment,Maritime Authority
RSP-00634,Freight Corridor Agreement,Ministry of Defense
RSP-00635,Fuel Subsidy Increase,Central Bank
RSP-00636,Bilateral Defense Pact,Maritime Authority
RSP-00637,Coal-to-Gas Switching Ban,Ministry of Defense
RSP-00638,Bilateral Defense Pact,Central Bank
RSP-00639,Port Security Enhancement,Ministry of Trade
RSP-00640,Freight Corridor Agreement,Emergency Management Agency
RSP-00641,Cyber Defense for Energy Grid,Central Bank
RSP-00642,Alternative Supplier Agreement,National Oil Company
RSP-00643,Port Security Enhancement,Ministry of Defense
RSP-00644,Cyber Defense for Energy Grid,Ministry of Defense
RSP-00645,Maritime Insurance Fund,National Oil Company
RSP-00646,Fuel Subsidy Increase,Central Bank
RSP-00647,Maritime Insurance Fund,Central Bank
RSP-00648,Renewable Energy Fast-Track,Ministry of Defense
RSP-00649,Alternative Supplier Agreement,Ministry of Defense
RSP-00650,Renewable Energy Fast-Track,Ministry of Defense
RSP-00651,LNG Terminal Fast-Track,National Oil Company
RSP-00652,Strategic Fuel Stockpile Mandate,Maritime Authority
RSP-00653,Cyber Defense for Energy Grid,Emergency Management Agency
RSP-00654,Freight Corridor Agreement,Ministry of Energy
RSP-00655,Fuel Subsidy Increase,Ministry of Defense
RSP-00656,LNG Terminal Fast-Track,Central Bank
RSP-00657,Renewable Energy Fast-Track,National Oil Company
RSP-00658,Freight Corridor Agreement,Central Bank
RSP-00659,Alternative Supplier Agreement,Maritime Authority
RSP-00660,Renewable Energy Fast-Track,National Oil Company
RSP-00661,Strategic Fuel Stockpile Mandate,Ministry of Trade
RSP-00662,Strategic Fuel Stockpile Mandate,Ministry of Defense
RSP-00663,Maritime Insurance Fund,National Oil Company
RSP-00664,Emergency Energy Import Deal,National Oil Company
RSP-00665,Naval Escort Deployment,Emergency Management Agency
RSP-00666,SPR Release,Emergency Management Agency
RSP-00667,Cyber Defense for Energy Grid,Ministry of Energy
RSP-00668,Fuel Subsidy Increase,Ministry of Defense
RSP-00669,Refinery Capacity Expansion,Emergency Management Agency
RSP-00670,Cyber Defense for Energy Grid,National Oil Company
RSP-00671,Alternative Supplier Agreement,Central Bank
RSP-00672,Fuel Subsidy Increase,National Oil Company
RSP-00673,Cyber Defense for Energy Grid,Emergency Management Agency
RSP-00674,Refinery Capacity Expansion,Emergency Management Agency
RSP-00675,Emergency Energy Import Deal,Ministry of Energy
RSP-00676,Bilateral Defense Pact,Maritime Authority
RSP-00677,Freight Corridor Agreement,Central Bank
RSP-00678,Bilateral Defense Pact,Ministry of Finance
RSP-00679,Renewable Energy Fast-Track,Ministry of Energy
RSP-00680,Bilateral Defense Pact,Ministry of Energy
RSP-00681,Bilateral Defense Pact,Ministry of Defense
RSP-00682,Port Security Enhancement,Ministry of Trade
RSP-00683,Fuel Subsidy Increase,Maritime Authority
RSP-00684,Renewable Energy Fast-Track,Ministry of Finance
RSP-00685,Maritime Insurance Fund,Ministry of Finance
RSP-00686,Refinery Capacity Expansion,Ministry of Trade
RSP-00687,Bilateral Defense Pact,Ministry of Finance
RSP-00688,Fuel Subsidy Increase,Ministry of Defense
RSP-00689,Bilateral Defense Pact,National Oil Company
RSP-00690,Naval Escort Deployment,Ministry of Defense
RSP-00691,Emergency Energy Import Deal,Ministry of Defense
RSP-00692,LNG Terminal Fast-Track,Ministry of Defense
RSP-00693,Maritime Insurance Fund,Ministry of Finance
RSP-00694,LNG Terminal Fast-Track,Maritime Authority
RSP-00695,SPR Release,Ministry of Finance
RSP-00696,Port Security Enhancement,Maritime Authority
RSP-00697,Port Security Enhancement,Emergency Management Agency
RSP-00698,Cyber Defense for Energy Grid,Ministry of Trade
RSP-00699,Cyber Defense for Energy Grid,Ministry of Energy
RSP-00700,Bilateral Defense Pact,Emergency Management Agency
RSP-00701,SPR Release,Ministry of Defense
RSP-00702,Refinery Capacity Expansion,Ministry of Trade
RSP-00703,SPR Release,Ministry of Energy
RSP-00704,Strategic Fuel Stockpile Mandate,Ministry of Defense
RSP-00705,Bilateral Defense Pact,Ministry of Defense
RSP-00706,Renewable Energy Fast-Track,Ministry of Energy
RSP-00707,SPR Release,Central Bank
RSP-00708,Fuel Subsidy Increase,National Oil Company
RSP-00709,Renewable Energy Fast-Track,Ministry of Defense
RSP-00710,Port Security Enhancement,Ministry of Defense
RSP-00711,Alternative Supplier Agreement,Ministry of Finance
RSP-00712,LNG Terminal Fast-Track,Ministry of Defense
RSP-00713,Bilateral Defense Pact,National Oil Company
RSP-00714,Freight Corridor Agreement,Ministry of Finance
RSP-00715,Bilateral Defense Pact,National Oil Company
RSP-00716,Freight Corridor Agreement,Ministry of Energy
RSP-00717,Maritime Insurance Fund,Central Bank
RSP-00718,Cyber Defense for Energy Grid,Ministry of Energy
RSP-00719,Renewable Energy Fast-Track,Ministry of Energy
RSP-00720,Strategic Fuel Stockpile Mandate,National Oil Company
RSP-00721,Cyber Defense for Energy Grid,Ministry of Energy
RSP-00722,Port Security Enhancement,Central Bank
RSP-00723,Alternative Supplier Agreement,Ministry of Defense
RSP-00724,Maritime Insurance Fund,Ministry of Trade
RSP-00725,Alternative Supplier Agreement,Maritime Authority
RSP-00726,Emergency Energy Import Deal,Ministry of Energy
RSP-00727,Bilateral Defense Pact,Ministry of Finance
RSP-00728,Renewable Energy Fast-Track,Central Bank
RSP-00729,Freight Corridor Agreement,National Oil Company
RSP-00730,LNG Terminal Fast-Track,Ministry of Trade
RSP-00731,SPR Release,Maritime Authority
RSP-00732,Freight Corridor Agreement,National Oil Company
RSP-00733,Fuel Subsidy Increase,National Oil Company
RSP-00734,Strategic Fuel Stockpile Mandate,Ministry of Defense
RSP-00735,Refinery Capacity Expansion,Central Bank
RSP-00736,Alternative Supplier Agreement,Central Bank
RSP-00737,Refinery Capacity Expansion,Ministry of Energy
RSP-00738,Naval Escort Deployment,Emergency Management Agency
RSP-00739,SPR Release,Ministry of Trade
RSP-00740,Emergency Energy Import Deal,Ministry of Trade
RSP-00741,Fuel Subsidy Increase,Ministry of Finance
RSP-00742,Coal-to-Gas Switching Ban,National Oil Company
RSP-00743,Freight Corridor Agreement,Central Bank
RSP-00744,Emergency Energy Import Deal,National Oil Company
RSP-00745,Naval Escort Deployment,National Oil Company
RSP-00746,Refinery Capacity Expansion,Central Bank
RSP-00747,Emergency Energy Import Deal,Ministry of Finance
RSP-00748,Coal-to-Gas Switching Ban,National Oil Company
RSP-00749,Freight Corridor Agreement,Maritime Authority
RSP-00750,LNG Terminal Fast-Track,Ministry of Defense
RSP-00751,Alternative Supplier Agreement,Ministry of Defense
RSP-00752,Naval Escort Deployment,Central Bank
RSP-00753,Coal-to-Gas Switching Ban,Maritime Authority
RSP-00754,Bilateral Defense Pact,Ministry of Defense
RSP-00755,Fuel Subsidy Increase,Ministry of Trade
RSP-00756,Fuel Subsidy Increase,Central Bank
RSP-00757,Strategic Fuel Stockpile Mandate,Ministry of Energy
RSP-00758,Naval Escort Deployment,Ministry of Defense
RSP-00759,Cyber Defense for Energy Grid,Ministry of Trade
RSP-00760,Bilateral Defense Pact,Ministry of Finance
RSP-00761,Bilateral Defense Pact,Ministry of Defense
RSP-00762,Freight Corridor Agreement,Ministry of Trade
RSP-00763,Emergency Energy Import Deal,Maritime Authority
RSP-00764,Freight Corridor Agreement,Emergency Management Agency
RSP-00765,Coal-to-Gas Switching Ban,Ministry of Defense
RSP-00766,Strategic Fuel Stockpile Mandate,Ministry of Energy
RSP-00767,Freight Corridor Agreement,Ministry of Defense
RSP-00768,Fuel Subsidy Increase,Ministry of Defense
RSP-00769,Naval Escort Deployment,Ministry of Finance
RSP-00770,SPR Release,Maritime Authority
RSP-00771,Freight Corridor Agreement,Ministry of Finance
RSP-00772,Port Security Enhancement,Ministry of Trade
RSP-00773,Renewable Energy Fast-Track,Ministry of Energy
RSP-00774,Renewable Energy Fast-Track,National Oil Company
RSP-00775,SPR Release,Central Bank
RSP-00776,Maritime Insurance Fund,Ministry of Trade
RSP-00777,Renewable Energy Fast-Track,Central Bank
RSP-00778,Naval Escort Deployment,Central Bank
RSP-00779,SPR Release,Ministry of Energy
RSP-00780,Bilateral Defense Pact,Ministry of Trade
RSP-00781,Port Security Enhancement,Central Bank
RSP-00782,Port Security Enhancement,Ministry of Energy
RSP-00783,Bilateral Defense Pact,Central Bank
RSP-00784,Maritime Insurance Fund,Emergency Management Agency
RSP-00785,Port Security Enhancement,Ministry of Energy
RSP-00786,Bilateral Defense Pact,Ministry of Energy
RSP-00787,Maritime Insurance Fund,National Oil Company
RSP-00788,LNG Terminal Fast-Track,National Oil Company
RSP-00789,Port Security Enhancement,Emergency Management Agency
RSP-00790,SPR Release,Maritime Authority
RSP-00791,Strategic Fuel Stockpile Mandate,Maritime Authority
RSP-00792,Maritime Insurance Fund,Central Bank
RSP-00793,Coal-to-Gas Switching Ban,National Oil Company
RSP-00794,SPR Release,Emergency Management Agency
RSP-00795,Maritime Insurance Fund,Ministry of Finance
RSP-00796,LNG Terminal Fast-Track,Ministry of Trade
RSP-00797,Bilateral Defense Pact,Maritime Authority
RSP-00798,Maritime Insurance Fund,Ministry of Defense
RSP-00799,Fuel Subsidy Increase,Ministry of Defense
RSP-00800,Fuel Subsidy Increase,Central Bank
RSP-00801,Cyber Defense for Energy Grid,Emergency Management Agency
RSP-00802,Port Security Enhancement,Central Bank
RSP-00803,Naval Escort Deployment,Ministry of Trade
RSP-00804,Strategic Fuel Stockpile Mandate,Maritime Authority
RSP-00805,Cyber Defense for Energy Grid,Ministry of Defense
RSP-00806,Bilateral Defense Pact,Ministry of Energy
RSP-00807,Bilateral Defense Pact,Ministry of Trade
RSP-00808,Maritime Insurance Fund,Ministry of Defense
RSP-00809,Refinery Capacity Expansion,Ministry of Energy
RSP-00810,SPR Release,Maritime Authority
RSP-00811,Strategic Fuel Stockpile Mandate,Central Bank
RSP-00812,Maritime Insurance Fund,Maritime Authority
RSP-00813,Maritime Insurance Fund,Central Bank
RSP-00814,Bilateral Defense Pact,Maritime Authority
RSP-00815,Freight Corridor Agreement,Ministry of Defense
RSP-00816,Port Security Enhancement,Ministry of Finance
RSP-00817,Refinery Capacity Expansion,Emergency Management Agency
RSP-00818,Renewable Energy Fast-Track,Ministry of Trade
RSP-00819,Alternative Supplier Agreement,Ministry of Trade
RSP-00820,Cyber Defense for Energy Grid,Maritime Authority
RSP-00821,Maritime Insurance Fund,Ministry of Trade
RSP-00822,Fuel Subsidy Increase,Maritime Authority
RSP-00823,Strategic Fuel Stockpile Mandate,Ministry of Finance
RSP-00824,Renewable Energy Fast-Track,Ministry of Defense
RSP-00825,Fuel Subsidy Increase,Ministry of Trade
RSP-00826,Coal-to-Gas Switching Ban,Ministry of Energy
RSP-00827,Bilateral Defense Pact,Ministry of Energy
RSP-00828,Naval Escort Deployment,Ministry of Finance
RSP-00829,Alternative Supplier Agreement,Ministry of Energy
RSP-00830,Maritime Insurance Fund,Ministry of Energy
RSP-00831,Renewable Energy Fast-Track,Maritime Authority
RSP-00832,Fuel Subsidy Increase,National Oil Company
RSP-00833,Bilateral Defense Pact,Ministry of Trade
RSP-00834,Emergency Energy Import Deal,Ministry of Trade
RSP-00835,Alternative Supplier Agreement,Ministry of Trade
RSP-00836,SPR Release,National Oil Company
RSP-00837,Strategic Fuel Stockpile Mandate,Central Bank
RSP-00838,Emergency Energy Import Deal,National Oil Company
RSP-00839,SPR Release,Ministry of Energy
RSP-00840,Maritime Insurance Fund,Ministry of Trade
RSP-00841,Renewable Energy Fast-Track,Ministry of Finance
RSP-00842,Fuel Subsidy Increase,Central Bank
RSP-00843,Naval Escort Deployment,Ministry of Energy
RSP-00844,Cyber Defense for Energy Grid,Ministry of Defense
RSP-00845,Refinery Capacity Expansion,Emergency Management Agency
RSP-00846,LNG Terminal Fast-Track,Emergency Management Agency
RSP-00847,Freight Corridor Agreement,Ministry of Energy
RSP-00848,Refinery Capacity Expansion,Ministry of Trade
RSP-00849,Cyber Defense for Energy Grid,Emergency Management Agency
RSP-00850,Freight Corridor Agreement,Maritime Authority
RSP-00851,Naval Escort Deployment,Ministry of Energy
RSP-00852,Port Security Enhancement,Emergency Management Agency
RSP-00853,SPR Release,Maritime Authority
RSP-00854,Renewable Energy Fast-Track,National Oil Company
RSP-00855,Fuel Subsidy Increase,Central Bank
RSP-00856,Coal-to-Gas Switching Ban,Ministry of Trade
RSP-00857,Renewable Energy Fast-Track,National Oil Company
RSP-00858,Alternative Supplier Agreement,Ministry of Defense
RSP-00859,Refinery Capacity Expansion,Ministry of Defense
RSP-00860,Emergency Energy Import Deal,Emergency Management Agency
RSP-00861,Refinery Capacity Expansion,Maritime Authority
RSP-00862,Naval Escort Deployment,Ministry of Finance
RSP-00863,Coal-to-Gas Switching Ban,Emergency Management Agency
RSP-00864,Renewable Energy Fast-Track,Ministry of Defense
RSP-00865,Bilateral Defense Pact,Central Bank
RSP-00866,Port Security Enhancement,Ministry of Defense
RSP-00867,Renewable Energy Fast-Track,Central Bank
RSP-00868,Bilateral Defense Pact,Ministry of Energy
RSP-00869,Bilateral Defense Pact,Central Bank
RSP-00870,Refinery Capacity Expansion,Ministry of Energy
RSP-00871,Fuel Subsidy Increase,Ministry of Trade
RSP-00872,Refinery Capacity Expansion,Ministry of Finance
RSP-00873,Alternative Supplier Agreement,Maritime Authority
RSP-00874,Freight Corridor Agreement,Emergency Management Agency
RSP-00875,Emergency Energy Import Deal,Ministry of Finance
RSP-00876,Emergency Energy Import Deal,Emergency Management Agency
RSP-00877,Maritime Insurance Fund,National Oil Company
RSP-00878,Emergency Energy Import Deal,Ministry of Energy
RSP-00879,Maritime Insurance Fund,Maritime Authority
RSP-00880,Strategic Fuel Stockpile Mandate,Ministry of Energy
RSP-00881,Port Security Enhancement,Maritime Authority
RSP-00882,Refinery Capacity Expansion,Ministry of Finance
RSP-00883,Refinery Capacity Expansion,Ministry of Trade
RSP-00884,Maritime Insurance Fund,Ministry of Defense
RSP-00885,Freight Corridor Agreement,Ministry of Defense
