event_key,incident_type,severity_level,route_key
EVT-00369,Drone Strike Near Vessel,Severe,Strait of Hormuz
EVT-00370,GPS Spoofing / Jamming Incident,Moderate,Suez Canal
EVT-00371,Cyber-Attack on Port Systems,Minor,Bab el-Mandeb / Red Sea
EVT-00372,Drone Strike Near Vessel,Severe,Suez Canal
EVT-00373,Naval Mine Detonation,Critical,Bab el-Mandeb / Red Sea
EVT-00374,Port Closure (Military),Critical,Bab el-Mandeb / Red Sea
EVT-00375,Port Closure (Military),Critical,Suez Canal
EVT-00376,IRGC Fast-Boat Harassment,Moderate,Bab el-Mandeb / Red Sea
EVT-00377,Coalition Naval Escort Delay,Minor,Strait of Hormuz
EVT-00378,Military Blockade Enforcement,Moderate,Persian Gulf – East China Sea
EVT-00379,Insurance No-Go Zone Declaration,Minor,Bab el-Mandeb / Red Sea
EVT-00380,Cyber-Attack on Port Systems,Minor,Strait of Malacca
EVT-00381,Military Blockade Enforcement,Moderate,Strait of Hormuz
EVT-00382,Houthi Anti-Ship Missile,Minor,Aden Gulf – Indian Ocean
EVT-00383,Military Blockade Enforcement,Moderate,Bab el-Mandeb / Red Sea
EVT-00384,Unexploded Ordnance Discovery,Severe,Strait of Hormuz
EVT-00385,GPS Spoofing / Jamming Incident,Severe,Bab el-Mandeb / Red Sea
EVT-00386,Piracy / Armed Boarding,Critical,Strait of Hormuz
EVT-00387,Houthi Anti-Ship Missile,Minor,Persian Gulf – Sea of Japan
EVT-00388,Oil Spill from Damaged Tanker,Critical,Persian Gulf – East China Sea
EVT-00389,GPS Spoofing / Jamming Incident,Severe,Bab el-Mandeb / Red Sea
EVT-00390,Insurance No-Go Zone Declaration,Minor,Bab el-Mandeb / Red Sea
EVT-00391,Unexploded Ordnance Discovery,Minor,Bab el-Mandeb / Red Sea
EVT-00392,Naval Mine Detonation,Moderate,Persian Gulf – East China Sea
EVT-00393,Cyber-Attack on Port Systems,Moderate,Strait of Hormuz
EVT-00394,Insurance No-Go Zone Declaration,Minor,Bab el-Mandeb / Red Sea
EVT-00395,Maritime Corridor Suspension,Moderate,Bab el-Mandeb / Red Sea
EVT-00396,Cyber-Attack on Port Systems,Severe,Bab el-Mandeb / Red Sea
EVT-00397,Missile Attack on Tanker,Moderate,Bab el-Mandeb / Red Sea
EVT-00398,GPS Spoofing / Jamming Incident,Moderate,Bab el-Mandeb / Red Sea
EVT-00399,IRGC Fast-Boat Harassment,Moderate,Bab el-Mandeb / Red Sea
EVT-00400,GPS Spoofing / Jamming Incident,Severe,Strait of Hormuz
EVT-00401,GPS Spoofing / Jamming Incident,Minor,Bab el-Mandeb / Red Sea
EVT-00402,Missile Attack on Tanker,Minor,Strait of Hormuz
EVT-00403,Missile Attack on Tanker,Minor,Strait of Hormuz
EVT-00404,Insurance No-Go Zone Declaration,Moderate,Strait of Hormuz
EVT-00405,Houthi Anti-Ship Missile,Moderate,Arabian Sea – South China Sea
EVT-00406,Unexploded Ordnance Discovery,Critical,Strait of Hormuz
EVT-00407,Maritime Corridor Suspension,Minor,Persian Gulf – Bay of Bengal
EVT-00408,Unexploded Ordnance Discovery,Critical,Bab el-Mandeb / Red Sea
EVT-00409,Houthi Anti-Ship Missile,Critical,Cape of Good Hope (reroute)
EVT-00410,Maritime Corridor Suspension,Minor,Persian Gulf – East China Sea
EVT-00411,Insurance No-Go Zone Declaration,Moderate,Bab el-Mandeb / Red Sea
EVT-00412,Military Blockade Enforcement,Minor,Aden Gulf – Indian Ocean
EVT-00413,Coalition Naval Escort Delay,Minor,Bab el-Mandeb / Red Sea
EVT-00414,Houthi Anti-Ship Missile,Moderate,Strait of Hormuz
EVT-00415,Houthi Anti-Ship Missile,Severe,Strait of Hormuz
EVT-00416,GPS Spoofing / Jamming Incident,Critical,Strait of Hormuz
EVT-00417,Military Blockade Enforcement,Severe,Aden Gulf – Indian Ocean
EVT-00418,GPS Spoofing / Jamming Incident,Severe,Strait of Hormuz
EVT-00419,Maritime Corridor Suspension,Minor,Strait of Hormuz
EVT-00420,Coalition Naval Escort Delay,Minor,Cape of Good Hope (reroute)
EVT-00421,Drone Strike Near Vessel,Severe,Strait of Hormuz
EVT-00422,Coalition Naval Escort Delay,Minor,Strait of Malacca
EVT-00423,Cyber-Attack on Port Systems,Minor,Persian Gulf – Bay of Bengal
EVT-00424,IRGC Fast-Boat Harassment,Critical,Persian Gulf – East China Sea
EVT-00425,GPS Spoofing / Jamming Incident,Severe,Persian Gulf – Bay of Bengal
EVT-00426,Oil Spill from Damaged Tanker,Minor,Bab el-Mandeb / Red Sea
EVT-00427,Maritime Corridor Suspension,Moderate,Cape of Good Hope (reroute)
EVT-00428,Cyber-Attack on Port Systems,Critical,Bab el-Mandeb / Red Sea
EVT-00429,Missile Attack on Tanker,Severe,Strait of Hormuz
EVT-00430,Unexploded Ordnance Discovery,Moderate,Bab el-Mandeb / Red Sea
EVT-00431,Unexploded Ordnance Discovery,Minor,Strait of Hormuz
EVT-00432,Coalition Naval Escort Delay,Minor,Persian Gulf – Sea of Japan
EVT-00433,Missile Attack on Tanker,Moderate,Bab el-Mandeb / Red Sea
EVT-00434,Coalition Naval Escort Delay,Minor,Persian Gulf – East China Sea
EVT-00435,GPS Spoofing / Jamming Incident,Moderate,Strait of Hormuz
EVT-00436,IRGC Fast-Boat Harassment,Minor,Bab el-Mandeb / Red Sea
EVT-00437,Houthi Anti-Ship Missile,Minor,Cape of Good Hope (reroute)
EVT-00438,GPS Spoofing / Jamming Incident,Moderate,Aden Gulf – Indian Ocean
EVT-00439,Maritime Corridor Suspension,Severe,Cape of Good Hope (reroute)
EVT-00440,Oil Spill from Damaged Tanker,Severe,Strait of Hormuz
EVT-00441,Insurance No-Go Zone Declaration,Severe,Suez Canal
EVT-00442,Naval Mine Detonation,Moderate,Suez Canal
EVT-00443,Missile Attack on Tanker,Severe,Bab el-Mandeb / Red Sea
EVT-00444,Port Closure (Military),Severe,Aden Gulf – Indian Ocean
EVT-00445,Military Blockade Enforcement,Minor,Bab el-Mandeb / Red Sea
EVT-00446,Oil Spill from Damaged Tanker,Moderate,Strait of Malacca
EVT-00447,Piracy / Armed Boarding,Minor,Strait of Hormuz
EVT-00448,Houthi Anti-Ship Missile,Minor,Strait of Hormuz
EVT-00449,Port Closure (Military),Moderate,Aden Gulf – Indian Ocean
EVT-00450,Drone Strike Near Vessel,Severe,Strait of Hormuz
EVT-00451,Cyber-Attack on Port Systems,Minor,Bab el-Mandeb / Red Sea
EVT-00452,Naval Mine Detonation,Critical,Arabian Sea – South China Sea
EVT-00453,Piracy / Armed Boarding,Moderate,Arabian Sea – South China Sea
EVT-00454,Missile Attack on Tanker,Critical,Persian Gulf – East China Sea
EVT-00455,Port Closure (Military),Severe,Strait of Malacca
EVT-00456,Port Closure (Military),Severe,Cape of Good Hope (reroute)
EVT-00457,Insurance No-Go Zone Declaration,Severe,Suez Canal
EVT-00458,Drone Strike Near Vessel,Minor,Suez Canal
EVT-00459,Missile Attack on Tanker,Severe,Persian Gulf – Sea of Japan
EVT-00460,Piracy / Armed Boarding,Severe,Suez Canal
EVT-00461,Port Closure (Military),Moderate,Persian Gulf – Sea of Japan
EVT-00462,Drone Strike Near Vessel,Severe,Suez Canal
EVT-00463,Military Blockade Enforcement,Severe,Strait of Malacca
EVT-00464,Oil Spill from Damaged Tanker,Moderate,Strait of Hormuz
EVT-00465,GPS Spoofing / Jamming Incident,Moderate,Bab el-Mandeb / Red Sea
EVT-00466,Houthi Anti-Ship Missile,Minor,Bab el-Mandeb / Red Sea
EVT-00467,Houthi Anti-Ship Missile,Minor,Strait of Hormuz
EVT-00468,Missile Attack on Tanker,Severe,Bab el-Mandeb / Red Sea
EVT-00469,Drone Strike Near Vessel,Moderate,Bab el-Mandeb / Red Sea
EVT-00470,Port Closure (Military),Minor,Strait of Hormuz
EVT-00471,Cyber-Attack on Port Systems,Severe,Strait of Hormuz
EVT-00472,Drone Strike Near Vessel,Minor,Strait of Hormuz
EVT-00473,Houthi Anti-Ship Missile,Severe,Bab el-Mandeb / Red Sea
EVT-00474,Drone Strike Near Vessel,Moderate,Arabian Sea – South China Sea
EVT-00475,Naval Mine Detonation,Minor,Bab el-Mandeb / Red Sea
EVT-00476,Cyber-Attack on Port Systems,Severe,Suez Canal
EVT-00477,Insurance No-Go Zone Declaration,Moderate,Strait of Hormuz
EVT-00478,Missile Attack on Tanker,Minor,Strait of Hormuz
EVT-00479,Military Blockade Enforcement,Moderate,Strait of Hormuz
EVT-00480,Insurance No-Go Zone Declaration,Moderate,Bab el-Mandeb / Red Sea
EVT-00481,Piracy / Armed Boarding,Minor,Bab el-Mandeb / Red Sea
EVT-00482,Houthi Anti-Ship Missile,Moderate,Strait of Hormuz
EVT-00483,Coalition Naval Escort Delay,Severe,Strait of Hormuz
EVT-00484,Insurance No-Go Zone Declaration,Critical,Strait of Malacca
EVT-00485,Houthi Anti-Ship Missile,Minor,Bab el-Mandeb / Red Sea
EVT-00486,Coalition Naval Escort Delay,Minor,Bab el-Mandeb / Red Sea
EVT-00487,Coalition Naval Escort Delay,Minor,Persian Gulf – East China Sea
EVT-00488,GPS Spoofing / Jamming Incident,Moderate,Bab el-Mandeb / Red Sea
EVT-00489,Drone Strike Near Vessel,Moderate,Aden Gulf – Indian Ocean
EVT-00490,Piracy / Armed Boarding,Moderate,Persian Gulf – Sea of Japan
EVT-00491,Houthi Anti-Ship Missile,Severe,Strait of Malacca
EVT-00492,Piracy / Armed Boarding,Severe,Bab el-Mandeb / Red Sea
EVT-00493,Coalition Naval Escort Delay,Minor,Bab el-Mandeb / Red Sea
EVT-00494,Piracy / Armed Boarding,Severe,Strait of Hormuz
EVT-00495,Insurance No-Go Zone Declaration,Minor,Suez Canal
EVT-00496,IRGC Fast-Boat Harassment,Moderate,Bab el-Mandeb / Red Sea
EVT-00497,Cyber-Attack on Port Systems,Severe,Strait of Hormuz
EVT-00498,Cyber-Attack on Port Systems,Minor,Strait of Hormuz
EVT-00499,Drone Strike Near Vessel,Severe,Aden Gulf – Indian Ocean
EVT-00500,Houthi Anti-Ship Missile,Minor,Persian Gulf – East China Sea
EVT-00501,Piracy / Armed Boarding,Severe,Bab el-Mandeb / Red Sea
EVT-00502,Port Closure (Military),Moderate,Suez Canal
EVT-00503,Port Closure (Military),Minor,Strait of Hormuz
EVT-00504,Insurance No-Go Zone Declaration,Minor,Bab el-Mandeb / Red Sea
EVT-00505,Unexploded Ordnance Discovery,Minor,Strait of Hormuz
EVT-00506,Port Closure (Military),Moderate,Bab el-Mandeb / Red Sea
EVT-00507,Drone Strike Near Vessel,Minor,Strait of Malacca
EVT-00508,Oil Spill from Damaged Tanker,Moderate,Strait of Hormuz
EVT-00509,Insurance No-Go Zone Declaration,Critical,Cape of Good Hope (reroute)
EVT-00510,Coalition Naval Escort Delay,Minor,Strait of Hormuz
EVT-00511,Unexploded Ordnance Discovery,Severe,Persian Gulf – Sea of Japan
EVT-00512,Unexploded Ordnance Discovery,Moderate,Strait of Malacca
EVT-00513,Port Closure (Military),Minor,Strait of Hormuz
EVT-00514,Insurance No-Go Zone Declaration,Minor,Bab el-Mandeb / Red Sea
EVT-00515,Naval Mine Detonation,Minor,Strait of Hormuz
EVT-00516,Missile Attack on Tanker,Minor,Bab el-Mandeb / Red Sea
EVT-00517,Oil Spill from Damaged Tanker,Severe,Suez Canal
EVT-00518,Missile Attack on Tanker,Critical,Strait of Hormuz
EVT-00519,Insurance No-Go Zone Declaration,Moderate,Strait of Hormuz
EVT-00520,Naval Mine Detonation,Moderate,Persian Gulf – Bay of Bengal
EVT-00521,Drone Strike Near Vessel,Moderate,Suez Canal
EVT-00522,Military Blockade Enforcement,Minor,Persian Gulf – East China Sea
EVT-00523,Military Blockade Enforcement,Severe,Aden Gulf – Indian Ocean
EVT-00524,Oil Spill from Damaged Tanker,Critical,Strait of Hormuz
EVT-00525,IRGC Fast-Boat Harassment,Minor,Persian Gulf – East China Sea
EVT-00526,Maritime Corridor Suspension,Minor,Strait of Hormuz
EVT-00527,Military Blockade Enforcement,Severe,Arabian Sea – South China Sea
EVT-00528,Insurance No-Go Zone Declaration,Moderate,Bab el-Mandeb / Red Sea
EVT-00529,Military Blockade Enforcement,Critical,Cape of Good Hope (reroute)
EVT-00530,Maritime Corridor Suspension,Moderate,Cape of Good Hope (reroute)
EVT-00531,Missile Attack on Tanker,Moderate,Persian Gulf – East China Sea
EVT-00532,Coalition Naval Escort Delay,Severe,Strait of Hormuz
EVT-00533,Naval Mine Detonation,Moderate,Bab el-Mandeb / Red Sea
EVT-00534,Insurance No-Go Zone Declaration,Severe,Strait of Malacca
EVT-00535,Drone Strike Near Vessel,Severe,Persian Gulf – Bay of Bengal
EVT-00536,Oil Spill from Damaged Tanker,Critical,Strait of Malacca
EVT-00537,IRGC Fast-Boat Harassment,Minor,Suez Canal
EVT-00538,Military Blockade Enforcement,Moderate,Bab el-Mandeb / Red Sea
EVT-00539,Unexploded Ordnance Discovery,Critical,Strait of Hormuz
EVT-00540,GPS Spoofing / Jamming Incident,Moderate,Suez Canal
EVT-00541,Houthi Anti-Ship Missile,Minor,Bab el-Mandeb / Red Sea
EVT-00542,Missile Attack on Tanker,Severe,Cape of Good Hope (reroute)
EVT-00543,Oil Spill from Damaged Tanker,Minor,Cape of Good Hope (reroute)
EVT-00544,GPS Spoofing / Jamming Incident,Minor,Strait of Malacca
EVT-00545,IRGC Fast-Boat Harassment,Severe,Persian Gulf – East China Sea
EVT-00546,Piracy / Armed Boarding,Moderate,Strait of Hormuz
EVT-00547,Insurance No-Go Zone Declaration,Minor,Strait of Hormuz
EVT-00548,Unexploded Ordnance Discovery,Moderate,Strait of Hormuz
EVT-00549,Naval Mine Detonation,Moderate,Strait of Hormuz
EVT-00550,Insurance No-Go Zone Declaration,Moderate,Strait of Hormuz
EVT-00551,Coalition Naval Escort Delay,Severe,Persian Gulf – Sea of Japan
EVT-00552,Maritime Corridor Suspension,Minor,Bab el-Mandeb / Red Sea
EVT-00553,Coalition Naval Escort Delay,Moderate,Strait of Hormuz
EVT-00554,Coalition Naval Escort Delay,Severe,Cape of Good Hope (reroute)
EVT-00555,IRGC Fast-Boat Harassment,Minor,Persian Gulf – Bay of Bengal
EVT-00556,Drone Strike Near Vessel,Severe,Suez Canal
EVT-00557,Cyber-Attack on Port Systems,Minor,Aden Gulf – Indian Ocean
EVT-00558,Drone Strike Near Vessel,Moderate,Bab el-Mandeb / Red Sea
EVT-00559,Piracy / Armed Boarding,Minor,Strait of Hormuz
EVT-00560,Coalition Naval Escort Delay,Moderate,Persian Gulf – East China Sea
EVT-00561,Oil Spill from Damaged Tanker,Severe,Persian Gulf – East China Sea
EVT-00562,Insurance No-Go Zone Declaration,Moderate,Suez Canal
EVT-00563,Missile Attack on Tanker,Minor,Persian Gulf – Sea of Japan
EVT-00564,Unexploded Ordnance Discovery,Severe,Strait of Hormuz
EVT-00565,Missile Attack on Tanker,Critical,Cape of Good Hope (reroute)
EVT-00566,Missile Attack on Tanker,Moderate,Persian Gulf – East China Sea
EVT-00567,Maritime Corridor Suspension,Moderate,Suez Canal
EVT-00568,Maritime Corridor Suspension,Minor,Bab el-Mandeb / Red Sea
EVT-00569,Military Blockade Enforcement,Minor,Bab el-Mandeb / Red Sea
EVT-00570,Drone Strike Near Vessel,Severe,Bab el-Mandeb / Red Sea
EVT-00571,Missile Attack on Tanker,Critical,Cape of Good Hope (reroute)
EVT-00572,GPS Spoofing / Jamming Incident,Minor,Strait of Hormuz
EVT-00573,Oil Spill from Damaged Tanker,Moderate,Persian Gulf – Sea of Japan
EVT-00574,IRGC Fast-Boat Harassment,Minor,Persian Gulf – Bay of Bengal
EVT-00575,IRGC Fast-Boat Harassment,Moderate,Strait of Malacca
EVT-00576,Coalition Naval Escort Delay,Minor,Strait of Hormuz
EVT-00577,Oil Spill from Damaged Tanker,Minor,Persian Gulf – East China Sea
EVT-00578,Military Blockade Enforcement,Moderate,Strait of Hormuz
EVT-00579,Military Blockade Enforcement,Moderate,Suez Canal
EVT-00580,Port Closure (Military),Critical,Strait of Hormuz
EVT-00581,Unexploded Ordnance Discovery,Minor,Cape of Good Hope (reroute)
EVT-00582,Coalition Naval Escort Delay,Moderate,Persian Gulf – East China Sea
EVT-00583,GPS Spoofing / Jamming Incident,Severe,Persian Gulf – Bay of Bengal
EVT-00584,Oil Spill from Damaged Tanker,Minor,Bab el-Mandeb / Red Sea
EVT-00585,Insurance No-Go Zone Declaration,Moderate,Bab el-Mandeb / Red Sea
EVT-00586,Port Closure (Military),Moderate,Strait of Hormuz
EVT-00587,Coalition Naval Escort Delay,Minor,Bab el-Mandeb / Red Sea
EVT-00588,Port Closure (Military),Moderate,Strait of Hormuz
EVT-00589,Drone Strike Near Vessel,Severe,Bab el-Mandeb / Red Sea
EVT-00590,Insurance No-Go Zone Declaration,Severe,Bab el-Mandeb / Red Sea
EVT-00591,GPS Spoofing / Jamming Incident,Severe,Bab el-Mandeb / Red Sea
EVT-00592,Drone Strike Near Vessel,Critical,Persian Gulf – Bay of Bengal
EVT-00593,Houthi Anti-Ship Missile,Minor,Cape of Good Hope (reroute)
EVT-00594,IRGC Fast-Boat Harassment,Severe,Suez Canal
EVT-00595,Piracy / Armed Boarding,Severe,Aden Gulf – Indian Ocean
EVT-00596,Port Closure (Military),Severe,Bab el-Mandeb / Red Sea
EVT-00597,Naval Mine Detonation,Moderate,Bab el-Mandeb / Red Sea
EVT-00598,IRGC Fast-Boat Harassment,Severe,Bab el-Mandeb / Red Sea
EVT-00599,Oil Spill from Damaged Tanker,Severe,Persian Gulf – Sea of Japan
EVT-00600,Coalition Naval Escort Delay,Critical,Persian Gulf – Sea of Japan
EVT-00601,Houthi Anti-Ship Missile,Severe,Bab el-Mandeb / Red Sea
EVT-00602,Piracy / Armed Boarding,Moderate,Cape of Good Hope (reroute)
EVT-00603,Insurance No-Go Zone Declaration,Moderate,Strait of Hormuz
EVT-00604,Piracy / Armed Boarding,Moderate,Bab el-Mandeb / Red Sea
EVT-00605,Piracy / Armed Boarding,Minor,Strait of Hormuz
EVT-00606,Missile Attack on Tanker,Critical,Strait of Hormuz
EVT-00607,Houthi Anti-Ship Missile,Critical,Strait of Malacca
EVT-00608,Houthi Anti-Ship Missile,Severe,Bab el-Mandeb / Red Sea
EVT-00609,Naval Mine Detonation,Severe,Strait of Hormuz
EVT-00610,Missile Attack on Tanker,Minor,Strait of Hormuz
EVT-00611,Port Closure (Military),Critical,Bab el-Mandeb / Red Sea
EVT-00612,Maritime Corridor Suspension,Severe,Bab el-Mandeb / Red Sea
EVT-00613,Port Closure (Military),Severe,Bab el-Mandeb / Red Sea
EVT-00614,Military Blockade Enforcement,Minor,Bab el-Mandeb / Red Sea
EVT-00615,Houthi Anti-Ship Missile,Minor,Persian Gulf – Sea of Japan
EVT-00616,Cyber-Attack on Port Systems,Minor,Strait of Hormuz
EVT-00617,Naval Mine Detonation,Moderate,Bab el-Mandeb / Red Sea
EVT-00618,Insurance No-Go Zone Declaration,Moderate,Strait of Hormuz
EVT-00619,Unexploded Ordnance Discovery,Minor,Strait of Hormuz
EVT-00620,Cyber-Attack on Port Systems,Moderate,Bab el-Mandeb / Red Sea
EVT-00621,Piracy / Armed Boarding,Minor,Bab el-Mandeb / Red Sea
EVT-00622,Port Closure (Military),Moderate,Strait of Malacca
EVT-00623,IRGC Fast-Boat Harassment,Critical,Persian Gulf – Bay of Bengal
EVT-00624,Missile Attack on Tanker,Minor,Cape of Good Hope (reroute)
EVT-00625,Maritime Corridor Suspension,Moderate,Suez Canal
EVT-00626,IRGC Fast-Boat Harassment,Minor,Cape of Good Hope (reroute)
EVT-00627,Piracy / Armed Boarding,Severe,Bab el-Mandeb / Red Sea
EVT-00628,Houthi Anti-Ship Missile,Minor,Bab el-Mandeb / Red Sea
EVT-00629,Port Closure (Military),Moderate,Bab el-Mandeb / Red Sea
EVT-00630,Piracy / Armed Boarding,Minor,Persian Gulf – Bay of Bengal
EVT-00631,Drone Strike Near Vessel,Critical,Strait of Malacca
EVT-00632,Cyber-Attack on Port Systems,Minor,Bab el-Mandeb / Red Sea
EVT-00633,Insurance No-Go Zone Declaration,Moderate,Cape of Good Hope (reroute)
EVT-00634,Maritime Corridor Suspension,Severe,Aden Gulf – Indian Ocean
EVT-00635,Missile Attack on Tanker,Severe,Strait of Hormuz
EVT-00636,Drone Strike Near Vessel,Minor,Bab el-Mandeb / Red Sea
EVT-00637,Drone Strike Near Vessel,Moderate,Persian Gulf – East China Sea
EVT-00638,Unexploded Ordnance Discovery,Severe,Persian Gulf – East China Sea
EVT-00639,Piracy / Armed Boarding,Severe,Persian Gulf – East China Sea
EVT-00640,Piracy / Armed Boarding,Severe,Strait of Hormuz
EVT-00641,Insurance No-Go Zone Declaration,Minor,Cape of Good Hope (reroute)
EVT-00642,Maritime Corridor Suspension,Critical,Bab el-Mandeb / Red Sea
EVT-00643,Naval Mine Detonation,Moderate,Bab el-Mandeb / Red Sea
EVT-00644,Insurance No-Go Zone Declaration,Severe,Strait of Hormuz
EVT-00645,Insurance No-Go Zone Declaration,Severe,Strait of Hormuz
EVT-00646,Cyber-Attack on Port Systems,Moderate,Persian Gulf – Bay of Bengal
EVT-00647,Port Closure (Military),Moderate,Bab el-Mandeb / Red Sea
EVT-00648,Naval Mine Detonation,Minor,Persian Gulf – East China Sea
EVT-00649,Port Closure (Military),Moderate,Persian Gulf – Bay of Bengal
EVT-00650,Houthi Anti-Ship Missile,Critical,Strait of Hormuz
EVT-00651,Naval Mine Detonation,Minor,Strait of Hormuz
EVT-00652,Drone Strike Near Vessel,Moderate,Bab el-Mandeb / Red Sea
EVT-00653,Houthi Anti-Ship Missile,Critical,Strait of Malacca
EVT-00654,Oil Spill from Damaged Tanker,Minor,Cape of Good Hope (reroute)
EVT-00655,Port Closure (Military),Moderate,Cape of Good Hope (reroute)
EVT-00656,Houthi Anti-Ship Missile,Minor,Bab el-Mandeb / Red Sea
EVT-00657,Oil Spill from Damaged Tanker,Moderate,Bab el-Mandeb / Red Sea
EVT-00658,Unexploded Ordnance Discovery,Critical,Strait of Hormuz
EVT-00659,Cyber-Attack on Port Systems,Severe,Cape of Good Hope (reroute)
EVT-00660,IRGC Fast-Boat Harassment,Severe,Strait of Hormuz
EVT-00661,Military Blockade Enforcement,Moderate,Arabian Sea – South China Sea
EVT-00662,Naval Mine Detonation,Severe,Strait of Hormuz
EVT-00663,Cyber-Attack on Port Systems,Severe,Aden Gulf – Indian Ocean
EVT-00664,Oil Spill from Damaged Tanker,Minor,Suez Canal
EVT-00665,Unexploded Ordnance Discovery,Moderate,Cape of Good Hope (reroute)
EVT-00666,Naval Mine Detonation,Severe,Strait of Hormuz
EVT-00667,Port Closure (Military),Severe,Bab el-Mandeb / Red Sea
EVT-00668,Port Closure (Military),Minor,Persian Gulf – East China Sea
EVT-00669,Missile Attack on Tanker,Moderate,Bab el-Mandeb / Red Sea
EVT-00670,IRGC Fast-Boat Harassment,Severe,Persian Gulf – Bay of Bengal
EVT-00671,IRGC Fast-Boat Harassment,Severe,Suez Canal
EVT-00672,Insurance No-Go Zone Declaration,Severe,Bab el-Mandeb / Red Sea
EVT-00673,Military Blockade Enforcement,Minor,Bab el-Mandeb / Red Sea
EVT-00674,Drone Strike Near Vessel,Severe,Strait of Hormuz
EVT-00675,Houthi Anti-Ship Missile,Critical,Persian Gulf – Bay of Bengal
EVT-00676,Piracy / Armed Boarding,Minor,Persian Gulf – Sea of Japan
EVT-00677,Port Closure (Military),Minor,Bab el-Mandeb / Red Sea
EVT-00678,Houthi Anti-Ship Missile,Minor,Suez Canal
EVT-00679,IRGC Fast-Boat Harassment,Critical,Bab el-Mandeb / Red Sea
EVT-00680,Insurance No-Go Zone Declaration,Minor,Bab el-Mandeb / Red Sea
EVT-00681,Coalition Naval Escort Delay,Severe,Cape of Good Hope (reroute)
EVT-00682,Coalition Naval Escort Delay,Minor,Suez Canal
EVT-00683,GPS Spoofing / Jamming Incident,Minor,Bab el-Mandeb / Red Sea
EVT-00684,Houthi Anti-Ship Missile,Minor,Strait of Hormuz
EVT-00685,Drone Strike Near Vessel,Severe,Cape of Good Hope (reroute)
EVT-00686,Military Blockade Enforcement,Critical,Bab el-Mandeb / Red Sea
EVT-00687,Military Blockade Enforcement,Severe,Bab el-Mandeb / Red Sea
EVT-00688,Houthi Anti-Ship Missile,Minor,Strait of Malacca
EVT-00689,Missile Attack on Tanker,Minor,Strait of Hormuz
EVT-00690,Military Blockade Enforcement,Critical,Persian Gulf – Sea of Japan
EVT-00691,Naval Mine Detonation,Severe,Strait of Hormuz
EVT-00692,Insurance No-Go Zone Declaration,Critical,Strait of Hormuz
EVT-00693,Oil Spill from Damaged Tanker,Moderate,Persian Gulf – Sea of Japan
EVT-00694,Port Closure (Military),Severe,Persian Gulf – Sea of Japan
EVT-00695,Coalition Naval Escort Delay,Severe,Cape of Good Hope (reroute)
EVT-00696,Oil Spill from Damaged Tanker,Severe,Cape of Good Hope (reroute)
EVT-00697,Insurance No-Go Zone Declaration,Minor,Persian Gulf – Bay of Bengal
EVT-00698,Insurance No-Go Zone Declaration,Moderate,Suez Canal
EVT-00699,Cyber-Attack on Port Systems,Moderate,Bab el-Mandeb / Red Sea
EVT-00700,GPS Spoofing / Jamming Incident,Minor,Cape of Good Hope (reroute)
EVT-00701,Maritime Corridor Suspension,Severe,Strait of Hormuz
EVT-00702,Cyber-Attack on Port Systems,Severe,Cape of Good Hope (reroute)
EVT-00703,Houthi Anti-Ship Missile,Severe,Cape of Good Hope (reroute)
EVT-00704,Military Blockade Enforcement,Critical,Bab el-Mandeb / Red Sea
EVT-00705,Missile Attack on Tanker,Minor,Bab el-Mandeb / Red Sea
EVT-00706,Drone Strike Near Vessel,Moderate,Persian Gulf – Sea of Japan
EVT-00707,Cyber-Attack on Port Systems,Moderate,Bab el-Mandeb / Red Sea
EVT-00708,Military Blockade Enforcement,Minor,Strait of Hormuz
EVT-00709,Oil Spill from Damaged Tanker,Severe,Persian Gulf – East China Sea
EVT-00710,Oil Spill from Damaged Tanker,Severe,Cape of Good Hope (reroute)
EVT-00711,IRGC Fast-Boat Harassment,Minor,Suez Canal
EVT-00712,Houthi Anti-Ship Missile,Minor,Persian Gulf – East China Sea
EVT-00713,Naval Mine Detonation,Critical,Bab el-Mandeb / Red Sea
EVT-00714,Insurance No-Go Zone Declaration,Moderate,Cape of Good Hope (reroute)
EVT-00715,Coalition Naval Escort Delay,Moderate,Strait of Malacca
EVT-00716,Coalition Naval Escort Delay,Severe,Strait of Hormuz
EVT-00717,Unexploded Ordnance Discovery,Moderate,Aden Gulf – Indian Ocean
EVT-00718,Naval Mine Detonation,Moderate,Bab el-Mandeb / Red Sea
EVT-00719,Maritime Corridor Suspension,Severe,Persian Gulf – Bay of Bengal
EVT-00720,Piracy / Armed Boarding,Minor,Bab el-Mandeb / Red Sea
EVT-00721,Coalition Naval Escort Delay,Minor,Bab el-Mandeb / Red Sea
EVT-00722,Coalition Naval Escort Delay,Severe,Suez Canal
EVT-00723,Houthi Anti-Ship Missile,Moderate,Suez Canal
EVT-00724,GPS Spoofing / Jamming Incident,Moderate,Bab el-Mandeb / Red Sea
EVT-00725,Oil Spill from Damaged Tanker,Minor,Suez Canal
EVT-00726,Drone Strike Near Vessel,Moderate,Aden Gulf – Indian Ocean
EVT-00727,IRGC Fast-Boat Harassment,Moderate,Suez Canal
EVT-00728,Houthi Anti-Ship Missile,Moderate,Strait of Hormuz
EVT-00729,Coalition Naval Escort Delay,Minor,Bab el-Mandeb / Red Sea
EVT-00730,IRGC Fast-Boat Harassment,Moderate,Arabian Sea – South China Sea
EVT-00731,Naval Mine Detonation,Minor,Suez Canal
